--- SUMMARY ---
Metric,Value
Risk Score,80
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,14 days
Affected Zones,Villa Hermosa; Belén; Manrique

--- ZONE RISKS ---
Zone,Risk Score
Belén,93
Bello,91
Villa Hermosa,89
Manrique,88
San Javier,77
Robledo,76
Aranjuez,71

--- EVIDENCE LOG ---
Date,Headline,Source,Relevance
2025-06-21,A la cárcel presuntos miembros del Clan del Golfo por homicidios de líderes sociales en Antioquia,www.infobae.com,0.9
2025-06-18,Integrantes de Los Chatas a la cárcel: serían los culpables de homicidio y tráfico de estupefacientes,www.infobae.com,0.9
2024-12-23,Cese de extorsiones en Medellín y Bello inició este 19 de diciembre,www.ipc.org.co,0.9
2024-12-02,Cayó alias Duncan, el último de los capos de la banda criminal La Oficina,www.policia.gov.co,0.9
2024-12-02,Oficina de Envigado,es.wikipedia.org,0.9
2024-12-02,La Oficina | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-12-02,Medellín registra 1.200 homicidios en 2024, la cifra más alta en cinco años,www.minuto30.com,0.9
2024-12-02,Medellín registró 1.100 homicidios en 2023, la cifra más alta en 15 años,www.minuto30.com,0.9
2024-12-02,Medellín registró 1.200 homicidios en 2023, la cifra más alta en una década,www.minuto30.com,0.9
2024-12-02,Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años,telemedellin.tv,0.9
2024-12-02,Valle De Aburrá | Revelaciones del bajo mundo,www.elcolombiano.com,0.9
2024-12-02,Medellín: 10 homicidios en 24 horas, la mayoría en la comuna 13,telemedellin.tv,0.9
2024-12-02,Presunto jefe de "Pachelly" se declara inocente ante el juez,www.elcolombiano.com,0.9
2024-12-02,Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años,telemedellin.tv,0.9
2024-12-02,RAYA revela declaraciones de miembros de La Terraza, la banda criminal por la que fue condenado el secretario de seguridad de Federico Gutiérrez,revistaraya.com,0.9
2024-12-02,La Terraza | Revelaciones del bajo mundo - Part 2,www.elcolombiano.com,0.9
2024-12-02,Medellín: Captura de cabecilla de 'La Oficina' en Robledo,www.youtube.com,0.9
2024-12-02,Capturado cabecilla urbano y tres sicarios del GAO Clan del Golfo por homicidio agravado,www.policia.gov.co,0.9
2024-12-02,Oficina de Envigado,es.wikipedia.org,0.9
2024-12-02,Hablan los exjefes de la Oficina de Envigado en proceso de paz: “Apoyamos a varias alcaldías de Medellín”,revistaraya.com,0.9
2024-12-02,¿Y quién responde por los muertos de "la Oficina"?,www.elcolombiano.com,0.9
2024-12-02,Medellín: Capturan a alias 'El Gordo', cabecilla de la banda 'Los Pachelly',www.youtube.com,0.9
